Item,Frequency,Percentage(%)
cardiac arrest patients,1,0.02
fat people,1,0.02
female practitioners,1,0.02
ethnically underrepresented,1,0.02
less experienced,1,0.02
those with work limitations,1,0.02
patients of marginalized groups,1,0.02
different demographic groups,1,0.02
Older adults,1,0.02
People with disabilities,1,0.02
decision-makers,1,0.02
software developers,1,0.02
male candidates,1,0.02
social groups in Bangladesh,1,0.02
white,1,0.02
female pilot trainees,1,0.02
female instructors,1,0.02
male instructors,1,0.02
indigenous peoples,1,0.02
colonized communities,1,0.02
non-Western language speakers,1,0.02
different skin tones,1,0.02
U.S. LinkedIn members,1,0.02
different age groups,1,0.02
Chinese immigrants,1,0.02
health research participants,1,0.02
health experts,1,0.02
light skin,1,0.02
dark skin,1,0.02
platform workers,1,0.02
digital laborers,1,0.02
Non-White groups,1,0.02
Chinese social groups,1,0.02
financial applicants,1,0.02
Black Females,1,0.02
individuals with darker skin tones,1,0.02
public health populations,1,0.02
medical subgroups,1,0.02
data annotators,1,0.02
AI data workers,1,0.02
individuals with diverse appearances,1,0.02
multilingual users,1,0.02
African individuals,1,0.02
remote communities,1,0.02
students in underdeveloped regions,1,0.02
female cybersecurity professionals,1,0.02
male recruiters,1,0.02
US residents,1,0.02
Chinese residents,1,0.02
micro-firms,1,0.02
Dalits,1,0.02
caste-oppressed groups,1,0.02
resource-deprived groups,1,0.02
women inventors,1,0.02
female examiners,1,0.02
Black clients,1,0.02
White clients,1,0.02
Black males,1,0.02
female gender,1,0.02
female figures,1,0.02
male figures,1,0.02
Bengali speakers,1,0.02
Muslim community,1,0.02
incoming university students,1,0.02
Global South individuals,1,0.02
Global North individuals,1,0.02
marginalized cultural groups,1,0.02
women defendants,1,0.02
early-career scientists,1,0.02
newcomers,1,0.02
under-represented applicants,1,0.02
economic classes,1,0.02
female experts,1,0.02
lower castes,1,0.02
upper castes,1,0.02
white patients,1,0.02
non-white patients,1,0.02
diverse populations,1,0.02
multilingual speakers,1,0.02
individuals in decision contexts,1,0.02
lower education users,1,0.02
users outside US,1,0.02
native English speakers,1,0.02
PoC,1,0.02
nation groups,1,0.02
LGBTQ+ adolescents,1,0.02
queer youth,1,0.02
LGBTQIA+ individuals,1,0.02
East Asian users,1,0.02
Western users,1,0.02
resource-limited communities,1,0.02
White applicants,1,0.02
dialect speakers,1,0.02
patients with diabetes,1,0.02
subgroups at risk,1,0.02
non-standard dialect speakers,1,0.02
minoritized language speakers,1,0.02
educational levels,1,0.02
low-income women,1,0.02
underserved women,1,0.02
non-Western students,1,0.02
indigenous language speakers,1,0.02
protected attributes,1,0.02
under-resourced groups,1,0.02
health marginalized groups,1,0.02
black people,1,0.02
minority artists,1,0.02
African-American voters,1,0.02
young women,1,0.02
minority ethnic groups,1,0.02
non-minority groups,1,0.02
subgroups of individuals,1,0.02
feminine individuals,1,0.02
medical students,1,0.02
individuals with Down syndrome,1,0.02
Hispanic communities,1,0.02
White communities,1,0.02
American Indian communities,1,0.02
less urbanized areas,1,0.02
majority-minority groups,1,0.02
White counties,1,0.02
Filipino students,1,0.02
disadvantaged consumers,1,0.02
regional dialect speakers,1,0.02
female entrepreneurs,1,0.02
Chinese individuals,1,0.02
people who stutter,1,0.02
Latino men,1,0.02
French speakers,1,0.02
BIPOC youth,1,0.02
youth,1,0.02
users of recommender systems,1,0.02
Hispanic speakers,1,0.02
White speakers,1,0.02
non-white politicians,1,0.02
drug users,1,0.02
rehabilitation patients,1,0.02
Black community,1,0.02
Penn students,1,0.02
Philadelphia residents,1,0.02
Kurdish people,1,0.02
sexual violence victims,1,0.02
nations,1,0.02
organizations,1,0.02
younger,1,0.02
individuals with scarce resources,1,0.02
minoritized individuals,1,0.02
patients by socioeconomic status,1,0.02
medical communities,1,0.02
examiners,1,0.02
Russian speakers,1,0.02
literary readers,1,0.02
AI developers,1,0.02
users without resources,1,0.02
evicted individuals,1,0.02
homeless populations,1,0.02
platform users,1,0.02
artists,1,0.02
autistic adults,1,0.02
Deaf community,1,0.02
marine stakeholders,1,0.02
feminists,1,0.02
ageing workers,1,0.02
African,1,0.02
South American,1,0.02
xenophobic groups,1,0.02
patients needing hemodialysis,1,0.02
users of models,1,0.02
minority race,1,0.02
majority race,1,0.02
Female patients,1,0.02
advantaged groups,1,0.02
users by sexual orientation,1,0.02
underprivileged people,1,0.02
social groups in India,1,0.02
Brown Americans,1,0.02
Black Men,1,0.02
Portuguese speakers,1,0.02
individuals with darker skin,1,0.02
non-WEIRD annotators,1,0.02
Global South populations,1,0.02
vulnerable patients,1,0.02
minoritized scholars,1,0.02
religious minorities,1,0.02
health groups,1,0.02
Aboriginal peoples,1,0.02
Torres Strait Islanders,1,0.02
Global South,1,0.02
Middle East,1,0.02
Latine communities,1,0.02
low SES homes,1,0.02
diverse US communities,1,0.02
global communities,1,0.02
AAE speakers,1,0.02
health vulnerable,1,0.02
non-western English speakers,1,0.02
regional language users,1,0.02
Bengali communities,1,0.02
Medicaid recipients,1,0.02
Medicare beneficiaries,1,0.02
minority voters,1,0.02
economically disadvantaged students,1,0.02
female personas,1,0.02
LGBTQIA+ professionals,1,0.02
multilingual students,1,0.02
Minority groups,1,0.02
labor force,1,0.02
rural students,1,0.02
psychological users,1,0.02
financially excluded groups,1,0.02
mental health groups,1,0.02
male workers,1,0.02
items,1,0.02
information professionals,1,0.02
economically disadvantaged,1,0.02
contributors,1,0.02
global Rust users,1,0.02
homeless people,1,0.02
Black subjects,1,0.02
White subjects,1,0.02
low-resource cultures,1,0.02
medical practitioners,1,0.02
underserved areas,1,0.02
seniors,1,0.02
LGBTQIA2+,1,0.02
queer artists,1,0.02
pregnant women,1,0.02
new mothers,1,0.02
disability practitioners,1,0.02
queer students,1,0.02
academic communities,1,0.02
privileged individuals,1,0.02
unprivileged individuals,1,0.02
Japanese users,1,0.02
VTuber streamers,1,0.02
digital content creators,1,0.02
disadvantaged gender groups,1,0.02
K-12 students,1,0.02
protected student groups,1,0.02
patients with non-adherence,1,0.02
African language speakers,1,0.02
German speakers,1,0.02
US consumers,1,0.02
diverse care recipients,1,0.02
diverse ICU patients,1,0.02
Black populations,1,0.02
Asian women,1,0.02
African American community,1,0.02
low-income earners,1,0.02
lower education groups,1,0.02
rideshare drivers,1,0.02
urban low-demand regions,1,0.02
Swedish women,1,0.02
non-Italian born individuals,1,0.02
car insurance users,1,0.02
people with Down syndrome,1,0.02
Latin American workers,1,0.02
demographic cohorts,1,0.02
young job seekers,1,0.02
workers in Global South,1,0.02
castes,1,0.02
students with non-European background,1,0.02
Dutch students,1,0.02
residents in deprived areas,1,0.02
urban and rural populations,1,0.02
female scholars,1,0.02
AI users,1,0.02
target populations,1,0.02
migrants,1,0.02
under-represented subgroups,1,0.02
job-seekers,1,0.02
low-income neighborhoods,1,0.02
Low-resource language speakers,1,0.02
Global South communities,1,0.02
low-status surname holders,1,0.02
general social media users,1,0.02
LGBTQIAPN+ professionals,1,0.02
poorer people,1,0.02
developing country communities,1,0.02
central regions,1,0.02
deaf people,1,0.02
PNG users,1,0.02
emerging economy populations,1,0.02
Arab,1,0.02
Caucasian females,1,0.02
diverse patient groups,1,0.02
society members,1,0.02
large populations,1,0.02
community college students,1,0.02
researchers,1,0.02
Indigenous Australians,1,0.02
Non-Indigenous Australians,1,0.02
Tel Aviv neighborhoods,1,0.02
